timestamp,corridor,segment_id,segment_index,from_lat,from_lng,to_lat,to_lng,hour,day_of_week,congestion_index
2026-07-30T00:00:00,Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,0,3.0,101.39,3.0733,101.5185,0,3,0.2923
2026-07-30T01:00:00,Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,0,3.0,101.39,3.0733,101.5185,1,3,0.2542
2026-07-30T02:00:00,Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,0,3.0,101.39,3.0733,101.5185,2,3,0.3014
2026-07-30T03:00:00,Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,0,3.0,101.39,3.0733,101.5185,3,3,0.3552
2026-07-30T04:00:00,Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,0,3.0,101.39,3.0733,101.5185,4,3,0.2608
2026-07-30T05:00:00,Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,0,3.0,101.39,3.0733,101.5185,5,3,0.3196
2026-07-30T06:00:00,Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,0,3.0,101.39,3.0733,101.5185,6,3,0.6056
2026-07-30T07:00:00,Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,0,3.0,101.39,3.0733,101.5185,7,3,0.8342
2026-07-30T08:00:00,Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,0,3.0,101.39,3.0733,101.5185,8,3,0.9093
2026-07-30T09:00:00,Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,0,3.0,101.39,3.0733,101.5185,9,3,0.8207
2026-07-30T10:00:00,Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,0,3.0,101.39,3.0733,101.5185,10,3,0.483
2026-07-30T11:00:00,Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,0,3.0,101.39,3.0733,101.5185,11,3,0.3057
2026-07-30T12:00:00,Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,0,3.0,101.39,3.0733,101.5185,12,3,0.2899
2026-07-30T13:00:00,Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,0,3.0,101.39,3.0733,101.5185,13,3,0.1541
2026-07-30T14:00:00,Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,0,3.0,101.39,3.0733,101.5185,14,3,0.1897
2026-07-30T15:00:00,Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,0,3.0,101.39,3.0733,101.5185,15,3,0.3527
2026-07-30T16:00:00,Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,0,3.0,101.39,3.0733,101.5185,16,3,0.5387
2026-07-30T17:00:00,Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,0,3.0,101.39,3.0733,101.5185,17,3,0.8954
2026-07-30T18:00:00,Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,0,3.0,101.39,3.0733,101.5185,18,3,0.9455
2026-07-30T19:00:00,Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,0,3.0,101.39,3.0733,101.5185,19,3,0.7918
2026-07-30T20:00:00,Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,0,3.0,101.39,3.0733,101.5185,20,3,0.6874
2026-07-30T21:00:00,Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,0,3.0,101.39,3.0733,101.5185,21,3,0.3729
2026-07-30T22:00:00,Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,0,3.0,101.39,3.0733,101.5185,22,3,0.2971
2026-07-30T23:00:00,Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,0,3.0,101.39,3.0733,101.5185,23,3,0.1821
2026-07-31T00:00:00,Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,0,3.0,101.39,3.0733,101.5185,0,4,0.2298
2026-07-31T01:00:00,Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,0,3.0,101.39,3.0733,101.5185,1,4,0.2692
2026-07-31T02:00:00,Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,0,3.0,101.39,3.0733,101.5185,2,4,0.1935
2026-07-31T03:00:00,Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,0,3.0,101.39,3.0733,101.5185,3,4,0.2863
